S:NO,Comment
543,Hi!<br>When ever I grilled chicken in oven it turn out hard and dry. Please pour in some suggestions.<br>Thank you
544,"I am a vegetarian,so tried this with vegetarian chicken,(plant based).and now,I think,I need to be turned to a non vegetarian 🤩🤩👌"
545,"Ur recipe is good ,but u waste a lot of time in oral description, and it is difficult to analyze the ingredients u  describe is very fast"
546,Today I will try this recipe
547,"<a href=""https://www.youtube.com/watch?v=RKNogWbAivY&amp;t=1m56s"">1:56</a> ☠️"
548,"The recipe is awesome...and the song you used here is nice also....pls, tell me the song name and singer&#39;s name"
549,awsm recipe i tried out everone loved it
550,"Thanks Sanjyot, I  love your recipes. It makes my day. Especially the background music, it&#39;s just apt. 😊"
551,Tried your recipe.. and boom it came out to be the best of ones I have tried.
552,Which songs being played towards that end?
553,This is my all time fav recipe ♥️
554,Nice restaurant styles test yummm 😃😋😋
555,Hi I followed your recipe step by step and made it just exactly like you did...but everyone said it taste more like a Shahi paneer recipe and not like butter chicken...what could be the reason..can u help
556,Now we can say this butter chicken as expensive as a tomato
557,Sabase best look and proccess apaka hai sab dekh liya main jetane bhe hai yoitube me butter chicken wale ❤️❤️
558,I dnt have coal.. so wht if I skip
559,"I tried this recipe and it turned out soooooooooooo good! Except I used chicken with bone and didn&#39;t smoke the marinated chicken, but still it turned out good!! <br>  Next day I took to college and all my friends finished my tiffin in 2 minutes (faster than making Maggie)😂"
560,Nice cooked ❤
561,😮‍💨 not gonna make it but watching it looks so calming for some reason
562,Amaxing recipes you are giving<br>Also easy way you teach us<br>Tnk you
563,Can someone tell me song&#39;s name playing in background
564,Love you sanjyot you are amazing
565,Delicious👌💥
566,Butter chicken biryani bhi dekhna h
567,"<a href=""https://www.youtube.com/watch?v=RKNogWbAivY&amp;t=0m53s"">0:53</a> <br><a href=""https://www.youtube.com/watch?v=RKNogWbAivY&amp;t=3m00s"">3:00</a><br><a href=""https://www.youtube.com/watch?v=RKNogWbAivY&amp;t=5m10s"">5:10</a><br><a href=""https://www.youtube.com/watch?v=RKNogWbAivY&amp;t=6m28s"">6:28</a>"
568,Thanks I from South Africa<br>And  I like your this recipe <br>And kulcha naan <br>Today I make this recipe with kulcha naan  <br>My husband also  like it
569,Chef..if i marinade overnight &amp; i go with the first option of smoking the chicken then should i smoke &amp; then leave it to marinate for 8 to 10 hrs or marinate first &amp; then smoke it?
570,I got distracted watching the video and missed how to make it. Oh my goodness. I’m going to have to watch it over and over until I can figure out his recipe. Wow
571,I made it today 😊
572,What is the alternative for whole kashmiri red chilies
573,Thank you Chef! Tried it out and my family loved it❤
574,Looks yummy I&#39;ll definitely try this 👌👌
575,Man i watched this video a long time and this background song BODY TO BODY by STURE ZETTERBERG is my ringtone after that ❤️❤️❤️
576,I made this like 10 times because everyone loved it and don&#39;t know how many times more i am going to make this ....Even restaurant won&#39;t make this delicious....super yummy
577,Fabulous!! Mind blowing bro! Thanks so much for sharing this amazing recipe 😊❤
578,An amazing video... i made this for my family n my 11 year old son thought i ordered it from a restauraunt..super yummy.thanks chef
579,Mi maza leka kade Australia la geli hoti tithe mi tuzi butter chicken chi recipe karun maza mulala khau ghatli tyache friends pan aale hote tya sarvanna khup aavdli maza kade tyanni recipe magitli mi tyanna sanjyot keer la follow kara tyacha recipe khup chan aani sopya astat ase sangitle... khup khup tnanks beta tula 🙏🏻🙏🏻
580,Superb dish. Aaj ki mene. Thnq sanjyot sir🙏
581,Should I smoke before letting it rest for several hours or should I smoke right before grilling?
582,Can we use same process on mutton instead of chicken 😅 I really liked how it got fried
583,❤❤ When ever I watch your recipes more than watching the ingredients I watch you talking.God bless you my child I feel you have so much good sanskar that your attitude speaks about the food too .I like your recipes which I have to repeat many times because I look at your face.God give every mother a child like you .😊 Thanks chef
584,You put like 30 cloves and in the video you type 10-15 cloves. Such a big discrepancy
585,What is the background song??
586,Goin to try this tomorrow
587,"Hey chef, I tried out this recipe today and it turned out sooo delicious. Thankyou so much for this lovely recipe ❤❤"
588,"If we follow the exact instructions,  then we land up preparing the most delicious butter chicken!! 😊❤"
589,I tried it and it turned out very tasty! My kid and hubby love it. I am a vegetarian but my folks eat chicken! So I was scouting for a good recipe!thank you! 🎉🎉
590,Hi chef  can you please make mutanjan with chicken
591,I think some people  are jealous  &amp; mean human😢
592,Really  loved cooking &amp; enjoy eating with  family 😊
593,"thank you, i will definetly try!"
594,Best making I ever seen but I think elachi makes it complete
595,It did take time to prepare and cook but it was totally worth it 😍😍<br>The best butter chicken ever !!!
596,Bbbbbbbbbbbbb
597,I love your energy 🥰
598,I tried your recipe 2 till now just loved it added to my favourite already ❤
599,I have also tried it was very tasty...will make it today also...
600,"I rarely ever comment on videos, but this recipe is so so so good, with such simple ingredients. It is worth a try, just needs some time and patience."
601,1. Prepare the tomato gravy a day prior.<br>2. Smoke the chicken while in the pan.
602,I m 14 and I cook a lot and this dish is one of the many a cook a lot of times and it is just so perfect 🤩
603,Can you deep fry the chicken instead of grilling?
604,"I made this recipe of course without so much spices and it turned so amazingly delicious 😊thank you chef🙏 now could you tell me how can I make this sauce thick as a paste, thank you."
605,Nice thx u .
606,Turned out Not bad. Took alot of time though
607,"Hello sir , can uh plss upload the receipe of chicken salad"
608,Today I cooked is dish.. Really tasty.. 1st time tested butter chicken.. Your ingredients list is superb &amp; well measured.. I tired making many dishes watching other food creator videos but they don&#39;t work out well.. But your every video is working like charm. To the point.
609,Beatiful..<br>Thank you🙏👨‍🍳❣️
610,Anyone could tell the proportion for 4kg chicken?
611,Tried this recipe today and its turned out amazing.. Thanks for delicious recipe.. 😋😋😋
612,I tried this recipe and it was really delicious thank you for this recipe<br>please share Afghani chicken recipe
613,Whenever I&#39;m in the kitchen it&#39;s a total mess...but this time it turned out brilliantly 😊<br>Thank you 😊
614,Really unbelievable and super outstanding
615,Tried out this recipe 😋  no words for appreciation ❤😊
616,Amezing sr meri bhi reverent he butter chicken and बहोत अछे tarike se apne hame bataya धनवाद sr thankyou sir
617,"<a href=""https://youtu.be/pejzuqsmeFA"">https://youtu.be/pejzuqsmeFA</a>"
618,"Best recipe, aap description me ingredients list q nahi dete? Bahut baar pause karke banana padta hai"
619,Came again for this receipe cause last time I made this and!!! and !!!and !! tastes really bomb !!!  Thank you chef 😊
620,"It&#39;s very difficult to track down ingredients. Please don&#39;t change units in the middle. Eg, you told to take 3-4 onions then you took 1kg tomatoes. It&#39;s easy to stick with counts and please after every section show a textual recap."
621,"I had to promise my wife and my kids to cook it again very soon.. Thank you, artist."
622,Murgh musallam recipe please
623,I made this recipe and this is my first time making chicken never even touched before but it turn out so well my husband just loved it❤
624,Thank you so much great chef.... I prefer you more than Ranveer Brar. Bcz for me Ranveer Brar talks too much. Which leads to loose interest. You are amazingly expert and straight forward... You explain each small details without long discussion. Your videos helps me a lot. I tried ragda pattice watching your recipe. And it turn out to be the most authentic dish... Thank you once again for being such amazing chef for people like us. 😊😊 And the way you sprinkle salt is so satisfying...😄😄
625,You also have a great taste in Music
626,Which song was that 😅
627,"This is an amazing recipe, just tried this yesterday and it came out really well may be the best Butter Chicken I ever made. Also do you have a tip if anything gets too spicy then how to reduce the spiceness."
628,Looks super nice recipe
629,"Made this again. Probably my 8th time. And believe me, this recipe is at some point gonna prove life altering."
630,Nice recipe end your lengvej aapka bolne ka tarika bohot accha he ❤❤
631,Your recipe is outstanding.👌👌👌👌<br>Everyone in my family liked it.<br>Thanks for sharing this recipe.
632,How many does this serve? I can adjust the quantities accordingly. I am making this on Saturday
633,"Did this recipe today. It is become very delicious. I didn&#39;t eat such teasty Butter chicken before. I feel proud i did it. , My family 👪 members  appreciated my cooking. Thanks Sanjoyt for such difficult &amp; perfect receipe. God bless you.🙏👍😊"
634,Made this tonight and it tasted as good as I hoped
635,Very tasty!
636,"I cooked it, it tastes so good"
637,Thanks for the great recipe Chef Sanjyot. I have almost followed 90% of your guidelines and the end product was WOW. Everyone at home likes it . Keep up the good work
638,Im from pakistan tried this for eid and it was just yummiest… delicious…
639,"Hello Sir,<br><br>I tried this recipe today on special demand of my husband. Though it was my  first try for butter chicken, your recipe made me win again at the heart of my family. Feeling happy. Many thanks to you. Please invite us too in your kitchen for some rich taste of your food.😊"
640,"Thanks to you, I was able to have the best butter chicken I’ve ever tasted 🤌🏻✨"
641,How can we smoke when we have no charcoal?
642,"Next time u come to Delhi , try the butter chicken of Dhaba a punjabi theme in Rajouri garden . I guarantee that it would be the best butter chicken you ever had."
643,Tried it and it&#39;s perfect
644,Superb Delicious Dish . Sir plz let know the background song. The song was also so beautiful. Plz share the Song .<br>Thanku.
645,Scrumptious 😋
646,looks delicious..i love the song..what is the title pls
647,Today I made the tastiest butter chicken everr for my girlfriend and she agreed to marry me❤️🙈<br>Thanks to you💯❤️
648,Does anyone know what song is playing in the background ?
649,"I tried this recipe today,my parents and I loved it ❤❤❤❤,after trying your Paneer butter masala recipe which was a hit yesterday too. Now I am in danger,as my mom wants me to cook more 😂😂"
650,"Bhai mujhe b khana h ab to , naam hi suna h abi tak 😅"
651,Good recipe but very odd choice of music especially when he starts singing.
652,@Your food lab <br>does any one know how many ppl it can serve to?
653,Good job with the shredding. I don&#39;t like chunky chicken. Thank You!
654,Awesome recipe love the song by the way I enjoyed a lot while cooking keep making this type of video by adding this type of awesome and soul touching song in the recipe videos 😍 once again thank you for this awesome recipie I tried it and loved it ❤️♥️
655,Very delicious very yummy
656,which language is even this?
657,Thank you..I like ur chicken tikka masala and Butter chicken both 😊
658,Chef you are too good to explain thank you
659,I tried this recipe and it turned out so delicious and extraordinary 😋😋❤️❤️ <br>Thanks for sharing a wonderful recipe
660,Thanks for this Masterpiece 👍 it turned out so delicious and exactly same like we have it on restaurant 😋
661,I think he wil brk the record of chef Ranveer Brar too. 😃
662,This is THE best recipe on the internet. Hats off chef. I made it twice and really very tasty.
663,Can we use vinegar  instead of lemon
664,"They should make your food a religion❤❤ ! <br>(since I follow it devoutly😇)<br>..and where your - Food Lab is our place of worship, the music - kirtan/ choir music... the preaching (by you) inspiring and practice it - getting us action oriented - raring to go haha and we become better cooks.<br>Now thats the kinda religion the world ought to follow .. where the end gain/ knowledge is soul satiating and soul satisfying 😃❤<br>So...<br> 🙏Thank you for the magic❤<br>@Your Food Lab"
665,Your recipes are the best 😃.. you cook for like 10 persons! What you do of the leftovers?
666,"Tried this recipe today, turned out to be super delicious ❤❤<br>Thank you for this amazing recipe"
667,good receipe..came out perfectly..thank you so much
668,Which oil do you use ? Mustard?
669,Instead of mustard oil what can I use
670,Best butter chicken recipe ever! 🙂
671,Nice recepi. Aap puri unit k liye banate hai kya if yes then this is the best thing. Thank you for such lovely recepi. Love u . Lots of wishesh to you.👏👏
672,"I&#39;m Chandru from tamilnadu and your vedios and recipes are awesome and i have one question to you. what&#39;s your mixer (type, brand name ) and price?"
673,Song name?
674,Please bring butter chicken dum biryani for us🤤
675,Guys surely choose this recipe. I tried and it was outstanding. Thank you chef
676,Can I order this online? are you on zomato or swiggy?
677,God bless you❤
678,The best🤤
679,batata Bhari  dal wali kaise hai
680,"I made this exactly following all your instructions, loved it ❤❤<br>My father said, you have saved us 1000 rupees, it tasted better than restaurant&#39;s butter chicken. Made naan also, from your recipe😊"
681,"I love watching your recipes, they’re satisfying 😋. Please upload airfryer friendly recipes too."
682,Thank u for sharing …. I did your version of the recipe and it came out really good …… it truly is an amazing way of cooking the chicken ……… loved it so so much🥰🥰🥰🥰🥰🥰🥰
683,I WATCH THESE VIDEOS AS SLEEP THERAPY!! nothing calms me more than your voice and this music and the amazing food shots❤❤❤
684,Thank you for awesome recipe.. i made it and it turned out too good ❤
685,"lovely i just tried the recipe chicken with bone ,grilled in oven as told. Just wow. loved by husband. Thank you.😊😊<br>PS love all YFL video song choices 👌"
686,"It&#39;s pretty cool how a simple dish can make people happy and remember it forever, i enjoined this video!<br>Great cooking skills bro!"
687,Made it word for word. Better than any restaurant!
688,dish to bahot hi badhiya hai tasty but us se accha background me bajne wala song hai 🥰🥰🥰🥰❤️❤️❤️❤️😀😀😀😀😀👌👌👌👍👍👍
689,Thank you  🙏🏻🙏🏻
690,I try this recipe so tesy  thanks for recipe
691,"संजोयट सैफ जी आप हर विडियो में बोलकर अच्छी तरह से समझाते है , आपने कुछ विडियो में बोलकर नहीं बताया । निवेदन करता हुँ। आप जो भी विडियो डाले कृप्या बोलकर समझाए । आप एक-एक मसाले के बारे में समझाते है, आपकी बहुत मेहरबानी होगी। सैफ सहाब जी। धन्यवाद"
692,Sir it&#39;s Super yummy 😋😋😋😋😋finger licking good
693,I have recently started cooking and this was the first time I made butter chicken. My family ended up saying we are never having butter chicken from outside ever again.💕💕
694,Your recipe turned fabulous. Thank you so much for sharing.  ❤️🙏
695,Tried this recipe and it turned out to be super yummy! I reduced the number of chilies and it was just right for our taste. <br>Very easy too
696,Really very very delicious I tried today      thanks for sharing us this recipe ❤️❤️❤️❤️❤️❤️
697,I made this today and believe me it was super super delicious. Thank u chef😊
698,Wahhh mu me pani agya
699,10 kg chiken buter chiken in gredent ask to me
700,Un real!!! I didn’t listen. Empty stomach is GRRRRRROWLING!!😂 beautifully presented!
701,Wow juicy recipe
702,R u there in masterchef?
703,Very nice recipe and it tastes like heaven
704,Chef 1 kg tomato recipe mein jyada Khata To Nahin Laga.
705,Wow bro what a video😍👏
706,I made it for my husband and it turned out to be delicious ❤ thanks for the awesome recipe 🎉
707,Omg! Too good Sanjyot..must try
708,Which song is playing in background?
709,"All your receipes are by far the best.. you cannot go wrong, just follow it accurately.. <br>Kudoos to you!!"
710,"Would appreciate if you could mention the amount of onions in grams. I feel I added too much, though I took what I felt were 3 medium"
711,"I am allergic to nuts, please tell if there is any substitute for cashews in the gravy"
712,"I prepared butter chicken today it was awesome was like restaurant style butter chicken, thanks for the detailed recipe and also made nan on tawa by your recipe only thank you 🙏👍"
713,Can&#39;t thank u enough  !! Tried out as authentic as it can be ..yumm
714,"Broooo, you made this video like a movie"
715,Today is sunday chef means 100 % yfl recepies.. Today making butter chicken yfl style
716,Mast
717,If we don&#39;t have coal..
718,It&#39;s so good
719,Tried it came out to be delicious
720,Bhai sanjyot.... Your style was awesome man.... It was fully loaded with lots of taste.... Bhai tumne toh market kha gaye yaar.
721,It tastes really yummy😋 thank you bruh🥰
722,"okay so, I don’t usually follow YouTube recipes but I tried this today and voila! Too good!!❤️‍🔥"
723,Finally tried it today...it turned out soo yumm and the makhani sauce was finger licking good 😋👌
724,I love your way of describing
725,Do we have a written recipe of this somewhere ?
726,Testy
727,Thanks Chef for the amazing recepie. I tried it yesterday and it turned out awesome.
728,I have made this butter chicken multiple times and it has always turned to be outstanding... Believe me once you try this you are never going to get it from the restaurant. Thanks you YFL🥰
729,I made this and came out too good. But accidentally too spicy. What can I do to turn the spice level down?
730,"Good recipe, but I think you could have avoided the green chillies, my gravy turned a little spicy by just adding 2 green chillies. We Never know the spice level of green chillies sometimes.."
731,"Good recipe, but I think you could have avoided the green chillies, my gravy turned a little spicy by just adding 2 green chillies. We Never know the spice level of green chillies sometimes.."
732,Very good recipe...planning to try tomorrow. But I dont have charcoal to smoke...any other easily accessible alternative to smoke? Or can I skip that?
733,Just to mention again.. I have tried this recipe all d time to make butter chicken. I browse through so many other recipes but finally make this one.. so go ahead and this turns delicious everytime
734,"Damn it&#39;s to tempting,our family is obsessed with your recipes!!"
735,Which song is it in the background??
736,Today I tried your recipe as it is n butter chicken was like wow chick chick bhummmm fire very tasty thanks a lot sanjyot keer sir for these recipe❤
737,"So if I don’t make 1kg, and make 500gms, do I half of the said measurement of ingredients?"
738,Please make a recipe on Dhaniya Chicken as well.  I tried your recipe of Butter Chicken and it was phenomenal.
739,Beautiful
740,I tried it today..it&#39;s amazing recipe..Relished it
741,Thank you for the recipe.. I&#39;ve tried it at home my evryone loved it❤️❤️
742,Thank you so much for this recipe 😊
743,Art❤
744,How long can we store the makhni gravy if frozen?
745,The music is Sture Zetterberg feat. Andrew Shubin - Body to Body
746,hi there do you use 1 or 2 tbsp mustard oil for the tandoori chicken marinade? In the video it says 1 but in the written recipe in the description it says 2
747,I made this for my son he’s still licking his fingers🥰
748,"Hats off for you too Sany, i made a delicious meal that my family never imagined i would make, thanks for sharing. Would someone help with the details of the  song."
749,I made this two times following your recipe. This is great. I have never cooked anything and this was the first time. Everyone loved it. Next I&#39;m trying biryani.
750,"Hello Sanjyot, I tried this butter chicken recipe, and it was the best authentic butter chicken I have had in years!! Loved it. You are amazing!"
751,bro luvd the background music and finally the song. awesome presentation. your USP is simplicity. please dont loose it. Keep things simple and living.
752,Amazing.  Finger licking good . Only if I could share the pic.. u are blessed by goddess annapurna 👍😎
753,The way u said thanks u sir jst wooe
754,Thank you  Sanjoyt  for your wonderful  recipes . I like your all recipes.
755,Is &quot;thick curd&quot; more like Ricotta or more like Yogurt? It looks kind of grainy like ricotta and looking it up it sounds like it is made similarly. I&#39;m just trying to get the right thing and I&#39;ve never heard the term &quot;thick curd&quot; used in the US.
756,"Superb bro. Thanks a lot. Just finished my meal and everyone LOVED it. And it was my first time cooking something like this, other than maggi 😂."
757,"Sanjyot bhai.. Why don&#39;t you edit the video and add your voice instead of music, that will be more effective."
758,What song is this???
759,Does anyone know the background song name?
760,I tried this recipe on 1st Jan and it came out just superrr se uparrr. Mind-blowing!!! I would say it was better than butter chicken served in many restaurants.
761,you share nice recipe
762,Please start sharing list of ingredients and quntity in description..<br>Eg for makhani sauce: xyz<br>For chkn marination: xyz
763,Tried this recipe today only came out to be my best till today
764,"Helo ...paaji<br>Im punjabi from Indonesia, today try your butter chicken recipe ,1st time <br>My family just love it , thank you so much for the recipe 🙏"
765,Bhaa ji fate chak dite.
766,Thank you so much… I’m staying in US and missing indian cuisine as most of the indian food here are bland.. this recipe was quick and easy to make loved it❤️.. <br>also can you mention the tsp/tbsp for salt and the weight of onion used it would be a great help.. thanks a ton ❤️❤️
767,Pepper butter chicken ki recipe btae!!!
768,Unbelievable... you&#39;re an alchemist. I almost took a portion straight from the monitor. Thanks for the experience...going for the next one.
769,Super recipe! Thanks for sharing …my family loved it! Enjoyed the music too at the end
770,"<a href=""https://youtu.be/bGkQU0_u0qU"">https://youtu.be/bGkQU0_u0qU</a>"
771,It&#39;s delicious...I made it yesterday 😋😋<br>Thanks Sanjyot sir
772,Song mast hai 😂😁😁😁
773,"I have so many butter chicken recipe, but this recipe is the best of all , thank you chef"
774,I tried this recipe. Watch out for how long you put the charcoal. Everything else was fabulous except for that part. I add a table spoon of honey  to my recipe and the butter chicken masala in the end where he added Kashmiri chili’s and garam masala.
775,The best butter chicken recipe ever!!!<br>Better than the restaurant 😉 Eat it with naan or laccha Paratha you will love it
776,"Ohhhh, today I am going to try ur version..... Dear looking awesome. ... Surely  its tool tasty................"
777,Its serioslly such an amazing recipiee of butter chiken i personally tryed it mind blowing flavor brriliont one🥰🥰🥰
778,This is not a recipe for butter chicken but it&#39;s actually Food Porn in extra high definition!
779,Thankx ser bohat achi ha ya recipe
780,Beautiful recipe  thank you sir thank you
781,Wow... amazing...<br>Thank you  Sanjyot Keer for wonderful  receipy.
782,It&#39;s delicious 😋
783,"Thank you for sharing your recipe, i tried it today and it came out soo good, i am in love the Butter Chicken 🍗✨✨"
784,What to do if we don&#39;t have kashmiri red chilli we have normal n that&#39;s spicy If add this much quantity of it
785,Soooo tasty
786,"Please don&#39;t kill me for this, but can we get estimated calories per serving?<br>Trying to cut down, but cannot resist eating butter chicken. 🙈"
787,Stay blessed Keep Rising keep Shining Chef Sanjyot Keer ✨
788,I tried this fab recipe today and it came out super delicious ❤️
789,Mind blowing recipe
790,"The receipe is drool worthy.. ❤ As soon as I watched it, I decided to make it.. And it turned out to be so so good.. Love from Canada 🇨🇦"
791,Song name please
792,I dont eat chicken...after watching this...😋😋😋😋
793,"Amazing recipe, and wonderful song. Loved it"
794,Can any one tell the bgm name
795,Hi! Just tried this recipe today! And my family is crazzyy about it! I mean the texture and flavour it has of everything in it! Thank u soo much. Im from pakistan nd we love indian style food so i keep looking for better recpies! Thank u for a good one! Will try more of urs for sure!
796,Okay I’m drooling this looks too delicious. Have to make this on the weekend!
797,"Going to try soon, my 12 year son very much fond of recipe"
798,I tried your recipe and it was heavenly delicious ❤
799,Superb recipe of butter chicken along with beautiful song. Please share the singers name.
800,Which garam masala to add that u have mentioned time n again even in the description pls specify
801,Please suggest a frying pan or grill pan in which the chicken do not stick while shallow frying
802,Waoooo
803,🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤 no word
804,Perfect recipe 👍🏻❤️<br>Today I made it it&#39;s become very delicious ❤️
805,I tried this recipe now it&#39;s in the process and I wanna see my wife and mom&#39;s reaction .Hope this is going to turn out authentic butter chicken taste .  Trust me you enjoyed cooking but uske baad jo kitchen mess hua hai .hahaha
806,"Sanjoot you are a wonderful chef to watch , we enjoyed every single recipe you bring to the kitchen . God bless u bro"
807,"Waao no words, mouthwatring recipe😋🙏"
808,"Cooked this as my first time dish. I was anxious if it would go well, but I followed all your steps and it tasted amazing! Thanks !"
809,I tried this recipe a few days back. The taste was good but the steps were just too rigorous and time taking. I was really tired after cooking this recipe since a few steps (makhni sauce) were not going the way they were shown in the video. I hope anyone cooking this recipe takes a proper look at all steps and make sure they are up for it before starting.
810,I used your recipe to make butter chicken and it was the best butter chicken I have ever eaten better then restaurant ❤
811,Plz tell the which pan u use iron or cast pan
812,I had never felt before that cooking butter chicken could be so romantic!! <br>I almost see you dansing behind the camera while cooking the dish :) <br>Im definitely going to make this! Thank you for sharing ❤
813,"I have tried this one today, &amp; it was amazingly delicious.. thing is.. I made few changes...something like my version 😉<br>U r fab chef 👍👏"
814,aap sab recipe easy kar dete ho...acha lgta hain
815,Best
816,Idk about u guys. But I&#39;m in love with this guy and his cooking 😭
817,So beautiful ❤️
818,What is creamy
819,I want to try this recipe today .What to substitute for getting the smoky flavour if I don’t have charcoal?
820,I am cooking it right now hope my wife likes it
821,Chef pls give Nan roti recipes ur butter chicken recipes was excellent 👍
822,Bahut kharab hai
823,One of the best butter chicken i have made!
824,Superb recipe Lovely vlog👍💯💯👌👌👌✌✌✌️✌️🤩
825,"One question, u added Fenugreek at the starting of the gravy , isn&#39;t that supposed to be added at the end because orelse it might turn the gravy bitter🤔? Can anyone explain"
826,"So authentic  recipe👍, keep on providing  such recipes..."
827,sir tawa chicken recipe  pls........
828,Me kaafi restaurant and 5 star hotels me khana khaa chuka hu and trust me this one tastes exactly the same i have eaten in these restaurants or hotels.  Mene chicken fry ek sath pan me kiya for 8-10 min till oil was seperated. And channi se chana nahi kyu ki itna time nahi tha. It was super delicious .
829,Chef must try dis as butter chicken is everyone&#39;s favourite
830,Your great sir
831,Can u name the song used
832,Which song is this? Plz share🙏
833,Bhai dekh kar hi samjh aa gya ajtak hum chiken tomato puree kha rahe the... Asli to aise hi bnta hoga.. shandaar!
834,"sooo appetizzinggg 😭😭😋😋 I love your recipes and how you present it!! with tips and tricks.. thank you so much!!<br><br>also, I loved how you poured water in the blender and got out the last of the sauce.. its &#39;not wasting food&#39; which I&#39;ve never seen any other YouTuber do till date!"
835,Delicious 😋 😋
836,Happy diwali
837,Very nice a beautiful batter chikan..master sef sanjoy sir
838,Going to try it out some day <br>@YFL would like to know the song name that is playing in background thanks
839,Watching this with soothing background music  is like meditation !! Great recipe with Beautiful presentation.
840,Made this! Very delicious 😋
841,It came out really so much delicious guys🥳🥳<br>Always a fan of your tasty style recipe of foods....<br>Big thanks for sharing this delicious recipes
842,u r amazing chef i recently upload two butter chicken recipes on my page too but ur recipies is too good
843,Make some chicken recipes in oven too.
844,Song- body to body
845,Loved it. You&#39;re amazing Chef Sanjyot.
846,Wow i have shared same recipe on my channel but your recipe so much delicious<br><br>i like it your recipe
847,Hi chef can I skip amchur powder
848,Are you married?
849,Smooth like butter😋😋😋😋
850,Hi saw your videos for first time your recipes are very easy and very superb...I saw your many videos and in all videos you are wearing only black T-shirt I think black is your favourite....
851,Living in hostel sadly I can only watch😢
852,Thank you chef for sharing this recipe. Please let me know how many portions can I get from this lot ?
853,I made this today and it was soooo good like one of the best butter chickens I have ever had …. awesome 👍🌻
854,"I found the song! <a href=""https://youtu.be/bySJ1FXwrWA"">https://youtu.be/bySJ1FXwrWA</a>"
855,Looks absolutely lovely!!! Definitely going to try it! Thanks so much for sharing this beautiful recipe. I&#39;ve always been scared to use chicken breast but now thanks to you I know how to do it!!
856,"Tasty, 😋delicious"
857,I really have tried a lot of butter chicken tips and tricks from other recipes but truly it never turned out this good ....after watching your video I followed every advice and quantity religious and its the best butter chicken I have ever ever made.....Thank you so much for sharing your recipe ❤️
858,Anyone know the song name?
859,Oh my god!!!<br>Thnx a lot <br>After watching many recipes of butter chicken on utube I finally decided to follow urs..as a teenager not having much experience in cooking i was so confused that how it&#39;s gonna turn out..but..voila..it was amazing nd my whole family liked it..thanx a lot for this yummilicious receipe:)
860,Your lightining is better than ranveer brar
861,this came out yummy
862,Stumbled upon this video accidentally and fell in love absolutely. The recipe looks interesting and definitely worth a try. Also your filming style is very very different. Way to go! Do you want a fan on your set someday? ;)
863,The aesthetics of this video is just too good. ❤️
864,Your artistic way of presenting a recipe is absolutely incredible!
865,Hey I just loved your dishis realy I love to see you cooking Sir
866,I ❤️ butter 🧈 chicken
867,Name of the song?
868,Sanjot...i have been asking this for some time...can u please tell me the cooking range you have been using...<br>I just love it and i want to get it for my new house...
869,If this guy ever comes on masterchef..the contestants gonna run for their money!!
870,Today I tried this one. It was super delicious 😊<br>Keep posting ur style recipes
871,You are very fast while showing ingredients
872,Tried and it’s the best as usual. Thank you chef.
873,"What a video yaar💓, also the bgmusic, editing and also the tribute at the end, pure professional"
874,Background Song Name: Body To Body
875,Chef which brand of whole Kashmiri chilli is best available in india ???
876,So delicious 👍👌👌👌
877,MSD will Happy to be here...!
878,Which song is this?
879,Colour bhi ad kiya wo nahi bataya
880,recipe&#39;s amazing bt can you reveal the song name which you played in background 😛
881,"Today will try delicious recipe thank you man .. Best chef in the world ,♥️"
882,Nicely done. Very professional in all aspects. The video the background music was awesome. Simply loved the recipe and the video.
883,"To be honest, it is one of the best butter chicken recipe video I have ever seen on youtube. ❣️"
884,How Many people can be served?
885,I tried this recipe today. And it turned out amazing. My customer loved it! Best butter chicken recipe so far. Thank you
886,It&#39;s very yummy 😋
887,I thinks it’s too much masala
888,This is called quality recipe!♥️
889,Song pleaseee..
890,this turned out amazing
891,I’m addicted to your recipes so yummy looking.  Bravo 👏
892,I dont have cashews. Any substitute?
893,My chicken burnt from outside and not Fully cooked from inside. What to do??
894,Made this and believe me it&#39;s DEEEEEEEEEEEEEEEEELICIOUSSSSSSSSSSSSSS
895,Tried this recipe today. It turned out to be super delicious. Lots of blessings to u
896,Tried this today Sanjot. Turned out sooo well. Thanks a lott.
897,Hey Man. Respect.
898,That song is a beast!! And i have no words for this recipe!!
899,"Made this tonight and absolutely delicious. We’re not big butter chicken fans, but this recipe is top notch.  Not very heavy on dairy, but you still get that creamy texture.  The spices truly make this dish a top level dish!  You can really enjoy it without it leaving you feeling heavy.  Will definitely be making this again. Thank you Food Lab!"
900,"Hey i have made this recipe alot of times turns out really good but this tym it turned out a little sour, what can we do to remove the sourness i added cream sugar but i think my tomatoes got overcooked a little"
901,All i can say is awesome!
902,Sir for further taste can we add HONEY on it
903,I love your receipe I&#39;m always try..
904,Looks great n it will be delicious too
905,No words.... speech less...keer sir ap ka presentation...music...easy way of exploring dish...creates happy mahol....just mind blowing
906,I made it for the first time and my husband was saying I could sell it in a restaurant which is a big compliment. Thank you so much for keeping it simple and good.
907,Hi tried out your butter chicken recipe and my daughter loved it. She said this is the best butter chicken she had tasted so far and the restaurant one are down before this. Tq so much for sharing . I have been following u recently..
